# PBC data from DOI:10.1051/jp1:1996236, OBC data from DOI:10.1103/PhysRevB.95.195154
Lx,Ly,J1,J2,BC,E/N,E
4,4,1,0,PBC,-0.701780,-11.228483
4,4,1,0,OBC,-0.57432544,-9.18920704
6,6,1,0,PBC,-0.678872,-24.439392
6,6,1,0,OBC,-0.6035218,-21.7267848
6,6,1,0.1,PBC,-0.638096,-22.971456
6,6,1,0.2,PBC,-0.599046,-21.565656
6,6,1,0.3,PBC,-0.562459,-20.248524
6,6,1,0.4,PBC,-0.529745,-19.07082
6,6,1,0.5,PBC,-0.50381,-18.13716
6,6,1,0.55,PBC,-0.495178,-17.826408
6,6,1,0.6,PBC,-0.493239,-17.756604
6,6,1,0.65,PBC,-0.506588,-18.237168
6,6,1,0.7,PBC,-0.530001,-19.080036
6,6,1,0.8,PBC,-0.586487,-21.113532
6,6,1,0.9,PBC,-0.649052,-23.365872
6,6,1,1,PBC,-0.71436,-25.71696
10,10,1,0,PBC,-0.6715494,-67.15494
10,10,1,0,OBC,-0.628656,-62.8656